url,status,bucket,region,key,details
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_997258_Mary_Buffett_David_Clark_Warren_Buffett_and_the.zip,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_997258_Mary_Buffett_David_Clark_Warren_Buffett_and_the.zip,"size=7925603 last_modified=2026-01-03 03:42:44+00:00 etag=""f89256627f71b2015f6518513fdda3cb"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143320/22810023/miuDocumento_996308_00Guiaparatenerexitoenelcurso.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143320/22810023/miuDocumento_996308_00Guiaparatenerexitoenelcurso.pdf,latest_delete_marker=2025-12-21 17:44:28+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142918/12890465/miuDocumento_997274_ES.1.docx,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/142918/12890465/miuDocumento_997274_ES.1.docx,"size=17918 last_modified=2026-01-03 20:49:57+00:00 etag=""f6ec403b1b1c9f9c03fd9ed4e6bae7d7"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996395_5.US-NSC-68.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144708/20180351/miuDocumento_996395_5.US-NSC-68.pdf,"size=3168771 last_modified=2025-12-25 01:43:06+00:00 etag=""ad9237417d058598af3606e335ee6350"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144844/20110699/miuDocumento_996151_Class3_TheBarakat-20251218T033845Z-3-001.zip,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144844/20110699/miuDocumento_996151_Class3_TheBarakat-20251218T033845Z-3-001.zip,"size=1107378 last_modified=2025-12-19 02:18:43+00:00 etag=""8c79c2ea6626212d6b6714d0dc9c9a6a"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996952_enzimas.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143720/23820040/miuDocumento_996952_enzimas.9aed.2018.JeffHardinGregoryBertoni-Becker_sWorldoftheCell-Pearson2018.pdf,latest_delete_marker=2025-12-30 21:50:21+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143679/20100147/miuDocumento_996266_POI2026-GRUPO1.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143679/20100147/miuDocumento_996266_POI2026-GRUPO1.pdf,"size=393961 last_modified=2025-12-20 00:53:10+00:00 etag=""a9498dd82ee7042ec48263c0d0d5ff63"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143311/20160205/miuDocumento_997205_ProgramadeEconometraII.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143311/20160205/miuDocumento_997205_ProgramadeEconometraII.pdf,"size=140518 last_modified=2026-01-02 15:24:01+00:00 etag=""3716de3264c7f24f63b812780b8becb7"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144895/20190671/miuDocumento_996125_Apuntes_y_ejercicios_CLCULO_II.pdf,EXISTS,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/144895/20190671/miuDocumento_996125_Apuntes_y_ejercicios_CLCULO_II.pdf,"size=1567760 last_modified=2025-12-17 20:16:17+00:00 etag=""945c7db880a5dba770c81337b556305b"""
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996127_actadeindependenciaGuatemala.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996127_actadeindependenciaGuatemala.pdf,latest_delete_marker=2025-12-17 18:07:28+00:00
https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996128__Acta_de_independencia_de_los_estados_unidos.pdf,DELETE_MARKED,miu-documentos,us-west-2,DATA-DOCS/miu-hml/documentos/143342/16860249/miuDocumento_996128__Acta_de_independencia_de_los_estados_unidos.pdf,latest_delete_marker=2025-12-17 18:21:34+00:00
