MIU_DOCUMENTOS,PATH_ADUNTO,s3_key,motivo
1003178,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143280/20160308/miuDocumento_1003178_BriefCliente.pdf,DATA-DOCS/miu-hml/documentos/143280/20160308/miuDocumento_1003178_BriefCliente.pdf,
1003177,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144009/C0016630/miuDocumento_1003177_CuadroGlobalB2026.xlsx,DATA-DOCS/miu-hml/documentos/144009/C0016630/miuDocumento_1003177_CuadroGlobalB2026.xlsx,
1003176,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144008/C0016630/miuDocumento_1003176_CuadroGlobalA2026.xlsx,DATA-DOCS/miu-hml/documentos/144008/C0016630/miuDocumento_1003176_CuadroGlobalA2026.xlsx,
1003175,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144956/20940354/miuDocumento_1003175_P_jocotenango_Topografa.dwg,DATA-DOCS/miu-hml/documentos/144956/20940354/miuDocumento_1003175_P_jocotenango_Topografa.dwg,
1003174,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_1003174_PizarrasSesin4.pptx,DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_1003174_PizarrasSesin4.pptx,
1003173,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144583/20151009/miuDocumento_1003173_ElMedioambienteyelPrincipiodePrecaucinModulo2.pptx,DATA-DOCS/miu-hml/documentos/144583/20151009/miuDocumento_1003173_ElMedioambienteyelPrincipiodePrecaucinModulo2.pptx,
1003172,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144666/20190242/miuDocumento_1003171_Lectura3Whygoodprojectsfailanyway.pdf,DATA-DOCS/miu-hml/documentos/144666/20190242/miuDocumento_1003171_Lectura3Whygoodprojectsfailanyway.pdf,
1003171,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144312/20190242/miuDocumento_1003171_Lectura3Whygoodprojectsfailanyway.pdf,DATA-DOCS/miu-hml/documentos/144312/20190242/miuDocumento_1003171_Lectura3Whygoodprojectsfailanyway.pdf,
1003170,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144627/I2000008/miuDocumento_1003170_Liderazgo-sesion5.pdf,DATA-DOCS/miu-hml/documentos/144627/I2000008/miuDocumento_1003170_Liderazgo-sesion5.pdf,
1003169,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144666/20190242/miuDocumento_1003168_Lectura2YOUYOURARCH.pdf,DATA-DOCS/miu-hml/documentos/144666/20190242/miuDocumento_1003168_Lectura2YOUYOURARCH.pdf,
1003168,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144312/20190242/miuDocumento_1003168_Lectura2YOUYOURARCH.pdf,DATA-DOCS/miu-hml/documentos/144312/20190242/miuDocumento_1003168_Lectura2YOUYOURARCH.pdf,
